carpark_name,lat,lng
ADAM ROAD FOOD CENTRE AREA,1.324088,103.814086
ANCHORVALE CRESCENT HEAVY VEHICLE PARK,1.3973529,103.891979
ANG MO KIO STREET 63,1.385907,103.8482596
BALESTIER ROAD AREA,1.3264948,103.8463065
BEATTY ROAD AREA,39.9242722,-75.3661272
BEDOK ROAD FOOD CENTRE OFF STREET,1.3264714,103.9512968
BENDEMEER ROAD HEAVY VEHICLE PARK,1.3207141,103.8652907
BENG WAN ROAD OFF STREET,1.3236221,103.8654677
BENOI SECTOR,1.3150492,103.6908065
BLAIR ROAD/EVERTON ROAD AREA,1.276528,103.8370671
BRADDELL ROAD HEAVY VEHICLE PARK,1.3444522,103.8577767
BRIGHTON CRESCENT,1.3621374,103.8704052
BUKIT BATOK EAST AVENUE 2 HV PARK,1.3512787,103.7566479
BUKIT BATOK ROAD / JURONG ROAD OFF STREET,1.3472744,103.737899
BUKIT TIMAH MARKET OFF STREET,1.3394069,103.776049
CAIRNHILL ROAD SERVICE ROAD,1.3067162,103.8373289
CASUARINA ROAD AREA,1.375008,103.8280592
CHANGI NORTH AREA,1.3511854,103.968488
CHANGI ROAD AREA,1.3182725,103.9085841
CHANGI SOUTH AREA,1.3332694,103.9516745
CHANGI SOUTH LANE,1.3332694,103.9516745
CHIN BEE ROAD AREA,1.3297395,103.7127583
CLEMENCEAU AVENUE NORTH (NEWTON FC),1.3094621,103.8397137
DAIRY FARM ROAD / PETIR ROAD HV PARK,1.365372,103.7762412
DELTA CIRCUS FRINGE CAR PARK,1.2910571,103.825357
EAST COAST PARK E1 OFF STREET,1.306765,103.9299258
EAST COAST PARK E2 OFF STREET,1.3072638,103.9356894
EMERALD HILL ESTATE,-33.98738009999999,150.7977012
FORT CANNING PARK A & B,1.2938682,103.8466283
FORT CANNING PARK C OFF STREET,1.2967941,103.8452347
FORT ROAD/EAST COAST PARK HV PARK,1.3007842,103.9121866
GEYLANG AREA,1.3200544,103.8917746
GOODLINK PARK / JALAN MATA AYER OFF STREET,1.4266648,103.8254734
HAPPY AVENUE NORTH,1.3310617,103.8810144
HILLVIEW TERRACE,32.3814812,-86.24746689999999
HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,1.3121721,103.7919118
HORNE ROAD AREA,27.7556394,-97.4256992
JALAN BAHAR HEAVY VEHICLE PARK,1.3485527,103.7038602
JALAN BERSEH AREA,1.3074135,103.8573135
JALAN BESUT,1.3170745,103.7256654
JALAN BINCHANG,1.3535756,103.8468187
JALAN KAYU OFF STREET,1.3965161,103.8730804
JALAN KUBOR (VICTORIA ST/ROCHOR CANAL RD),1.3041127,103.8592207
JALAN LEGUNDI AREA,1.4412967,103.8232052
JALAN PELEPAH OFF STREET,1.2743595,103.7951768
JALAN PEMIMPIN,1.3508962,103.8421167
JALAN SEH CHUAN AREA,1.3410117,103.7746052
JOO CHIAT AREA (HAIG ROAD/TELOK KURAU ROAD),1.3055539,103.9052416
JOO KOON AREA,1.327445,103.6729665
KAKI BUKIT AVENUE 4,1.3390503,103.905324
KAKI BUKIT ROAD 1,1.3344994,103.9020194
KAKI BUKIT ROAD 2,1.3369144,103.8991316
KALLANG INDUSTRIAL ESTATE ZONE A,1.3196178,103.865015
KALLANG INDUSTRIAL ESTATE ZONE B,1.3196178,103.865015
KAMPONG AMPAT INDUSTRIAL ESTATE,1.337901,103.884739
KAMPONG BUGIS OFF STREET,1.3088221,103.8723535
KAMPONG GLAM AREA,1.3015584,103.8623134
